,precision,recall,f1-score,support
0,0.6666666666666666,0.8571428571428571,0.75,7.0
1,0.9090909090909091,0.7692307692307693,0.8333333333333334,13.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.7878787878787878,0.8131868131868132,0.7916666666666667,20.0
weighted avg,0.8242424242424242,0.8,0.8041666666666668,20.0
