,precision,recall,f1-score,support
0,0.8333333333333334,1.0,0.9090909090909091,10.0
1,1.0,0.8,0.8888888888888888,10.0
accuracy,0.9,0.9,0.9,0.9
macro avg,0.9166666666666667,0.9,0.898989898989899,20.0
weighted avg,0.9166666666666667,0.9,0.898989898989899,20.0
