,precision,recall,f1-score,support
0,0.7777777777777778,0.875,0.8235294117647058,8.0
1,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0
accuracy,0.85,0.85,0.85,0.85
macro avg,0.8434343434343434,0.8541666666666667,0.8465473145780051,20.0
weighted avg,0.8565656565656565,0.85,0.851150895140665,20.0
