,precision,recall,f1-score,support
0,0.5555555555555556,0.7142857142857143,0.625,7.0
1,0.8181818181818182,0.6923076923076923,0.75,13.0
accuracy,0.7,0.7,0.7,0.7
macro avg,0.6868686868686869,0.7032967032967032,0.6875,20.0
weighted avg,0.7262626262626263,0.7,0.70625,20.0
